filename	ATTRIBUTE_preparation_batch	ATTRIBUTE_City_Collection	ATTRIBUTE_State_Collection	ATTRIBUTE_Zip	ATTRIBUTE_Hypocrea.pachybasioides.positive	ATTRIBUTE_Ophiocordyceps.heteropoda.positive	ATTRIBUTE_tested.against.T..cruzi	ATTRIBUTE_Activity.against.T..cruzi	ATTRIBUTE_NOAA_ClimateRegions
P35_D6_no_yes_no_unknown.mzXML	1	Hoover	AL	35216	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P35_G11_no_no_no_unknown.mzXML	1	Pinson	AL	35216	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P35_G12_no_no_no_unknown.mzXML	1	Birmingham	AL	35216	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P37_F2_no_yes_no_unknown.mzXML	2	Ardmore	AL	35739	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P37_F3_no_no_no_unknown.mzXML	2	Ardmore	AL	35739	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P37_F4_no_no_no_unknown.mzXML	2	Ardmore	AL	35739	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P37_F5_no_no_no_unknown.mzXML	2	Ardmore	AL	35739	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P37_G1_no_no_no_unknown.mzXML	2	Vestavia Hills	AL	35216	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
blank_end.mzXML	blank	blank	blank	blank	blank	blank	blank	blank	blank
blank_end_190919230324.mzXML	blank	blank	blank	blank	blank	blank	blank	blank	blank
blank_mid.mzXML	blank	blank	blank	blank	blank	blank	blank	blank	blank
blank_mid_190918094228.mzXML	blank	blank	blank	blank	blank	blank	blank	blank	blank
blank_mid_190918130120.mzXML	blank	blank	blank	blank	blank	blank	blank	blank	blank
blank_mid_190918160650.mzXML	blank	blank	blank	blank	blank	blank	blank	blank	blank
blank_mid_190918191227.mzXML	blank	blank	blank	blank	blank	blank	blank	blank	blank
blank_mid_190919110634.mzXML	blank	blank	blank	blank	blank	blank	blank	blank	blank
blank_mid_190919141205.mzXML	blank	blank	blank	blank	blank	blank	blank	blank	blank
P35_D7_no_no_no_unknown.mzXML	1	Citrus Heights	CA	95610	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P35_E4_no_yes_yes_yes.mzXML	1	Rio Linda	CA	95673	no_Hypocrea	yes_Ophiocordyceps	Yes_testingTc	yes_activityTc	West
P35_H12_no_no_no_unknown.mzXML	1	Rancho Cordova	CA	95670	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_A12_no_no_no_unknown_190919175727.mzXML	2	Rio Linda	CA	95673	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_A4_no_no_no_unknown.mzXML	2	Citrus Heights	CA	95610	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_B10_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_B11_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_B12_no_no_no_unknown_190919215641.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_B8_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_B9_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_C1_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_C10_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_C11_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_C12_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_C2_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_C3_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_C4_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_C5_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_C6_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_C7_no_no_no_unknown.mzXML	2	San Clemente	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_C8_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_C9_no_yes_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_D1_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_D3_no_no_no_unknown_190919201024.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_D4_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_D5_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_D6_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_D7_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_E4_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_E5_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_E6_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_E7_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P37_E8_no_no_no_unknown.mzXML	2	Ladera Ranch	CA	92694	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	West
P35_G4_no_no_no_unknown.mzXML	1	Tampa	FL	33604	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P35_G5_no_yes_no_unknown.mzXML	1	Tampa	FL	33604	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P35_H2_no_no_no_unknown.mzXML	1	Palm Bay	FL	32909	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P37_B4_no_yes_no_unknown.mzXML	2	Palm Bay	FL	32909	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P37_E12_no_yes_no_unknown.mzXML	2	St. Petersburg	FL	33710	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P38_B6_no_no_no_unknown_190919221000.mzXML	2	Saint Petersburg	FL	33710	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P38_B8_no_no_no_unknown_190919214322.mzXML	2	Saint Petersburg	FL	33710	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
