	P35.F11.no.no.no.unknown.mzXML	P36.A1.no.no.no.unknown.190919182402.mzXML	P37.C8.no.no.no.unknown.mzXML	P37.D7.no.no.no.unknown.mzXML	P38.A6.no.no.no.unknown.mzXML	P38.B11.no.no.no.unknown.mzXML	P38.B5.no.no.no.unknown.mzXML	P38.C8.no.no.no.unknown.mzXML	P38.D2.no.no.no.unknown.mzXML	P38.D4.no.no.no.unknown.mzXML	P38.D6.no.no.no.unknown.mzXML	P35.A9.no.no.no.unknown.mzXML	P35.H5.no.no.no.unknown.mzXML	P36.A10.no.no.no.unknown.mzXML	P37.B2.no.no.no.unknown.mzXML	P37.C12.no.no.no.unknown.mzXML	P37.C5.no.no.no.unknown.mzXML	P37.D10.no.no.no.unknown.mzXML	P37.D3.no.no.no.unknown.190919201024.mzXML	P37.E4.no.no.no.unknown.mzXML	P38.A8.no.no.no.unknown.mzXML	P38.C10.no.no.no.unknown.mzXML	P38.C2.no.no.no.unknown.mzXML	P38.C3.no.no.no.unknown.mzXML	P38.C4.no.no.no.unknown.mzXML	P38.C6.no.no.no.unknown.mzXML	P35.F1.no.no.no.unknown.mzXML	P35.F12.no.no.no.unknown.mzXML	P35.F4.no.no.no.unknown.mzXML	P35.F7.no.no.no.unknown.mzXML	P36.A4.no.no.no.unknown.190919185036.mzXML	P37.B8.no.no.no.unknown.mzXML	P37.B9.no.no.no.unknown.mzXML	P37.C3.no.no.no.unknown.mzXML	P37.C6.no.no.no.unknown.mzXML	P37.D4.no.no.no.unknown.mzXML	P37.E10.no.no.no.unknown.mzXML	P37.E8.no.no.no.unknown.mzXML	P37.G5.no.no.no.unknown.mzXML	P37.G8.no.no.no.unknown.190919213007.mzXML	P38.A3.no.no.no.unknown.mzXML	P38.A7.no.no.no.unknown.190919210333.mzXML	P38.B10.no.no.no.unknown.mzXML	P38.B2.no.no.no.unknown.mzXML	P38.B9.no.no.no.unknown.mzXML	P38.C7.no.no.no.unknown.mzXML	P38.D3.no.no.no.unknown.mzXML	P38.D5.no.no.no.unknown.mzXML	P35.E12.no.no.no.unknown.mzXML	P35.E8.no.no.no.unknown.mzXML	P35.F6.no.yes.no.unknown.mzXML	P35.F8.no.no.no.unknown.mzXML	P35.G1.no.no.no.unknown.mzXML	P35.G2.no.yes.no.unknown.mzXML	P35.G8.no.no.no.unknown.mzXML	P36.A6.no.no.no.unknown.190919190353.mzXML	P36.A9.no.no.no.unknown.mzXML	P37.A2.no.no.no.unknown.190919181045.mzXML	P37.A8.no.no.no.unknown.mzXML	P37.B12.no.no.no.unknown.190919215641.mzXML	P37.B3.no.yes.no.unknown.mzXML	P37.C1.no.no.no.unknown.mzXML	P37.C2.no.no.no.unknown.mzXML	P37.D12.no.no.no.unknown.mzXML	P37.D8.no.yes.no.unknown.mzXML	P37.E1.no.no.no.unknown.mzXML	P37.G3.no.no.no.unknown.mzXML	P37.G4.no.yes.no.unknown.mzXML	P38.A10.no.no.no.unknown.190919193029.mzXML	P38.A4.no.no.no.unknown.190919203658.mzXML	P35.A11.no.no.no.unknown.mzXML	P35.A4.no.no.yes.no.mzXML	P35.G3.no.no.no.unknown.mzXML	P35.H11.no.no.no.unknown.mzXML	P35.H8.no.no.no.unknown.mzXML	P36.A11.no.no.no.unknown.mzXML	P36.A12.no.no.no.unknown.mzXML	P36.B3.no.no.no.unknown.mzXML	P36.B4.no.no.no.unknown.mzXML	P37.A7.no.no.no.unknown.mzXML	P37.B11.no.no.no.unknown.mzXML	P37.C11.no.no.no.unknown.mzXML	P37.D1.no.no.no.unknown.mzXML	P37.D6.no.no.no.unknown.mzXML	P37.E7.no.no.no.unknown.mzXML	P37.G12.no.no.no.unknown.190919202341.mzXML	P37.H10.no.no.no.unknown.mzXML	P38.B4.no.no.no.unknown.mzXML	P38.C9.no.no.no.unknown.mzXML	P35.F3.no.no.no.unknown.mzXML	P35.G6.no.no.yes.no.mzXML	P36.A2.no.no.no.unknown.mzXML	P37.B10.no.no.no.unknown.mzXML	P37.C10.no.no.no.unknown.mzXML	P37.C4.no.no.no.unknown.mzXML	P37.C9.no.yes.no.unknown.mzXML	P37.D9.no.no.no.unknown.mzXML	P37.G11.no.no.no.unknown.mzXML	P38.A5.no.yes.no.unknown.mzXML	P35.G7.no.no.no.unknown.mzXML	P35.H6.no.no.no.unknown.mzXML	P37.D5.no.no.no.unknown.mzXML	P38.C5.no.yes.no.unknown.mzXML	P37.E6.no.no.no.unknown.mzXML	P36.A3.no.no.no.unknown.mzXML	P36.B5.no.no.no.unknown.mzXML	P37.E5.no.no.no.unknown.mzXML	P37.H8.no.no.no.unknown.mzXML	P35.E7.no.no.yes.no.mzXML	P37.E9.no.no.no.unknown.mzXML	P37.G6.no.no.no.unknown.mzXML	P38.B1.no.no.no.unknown.mzXML	P37.A3.no.yes.no.unknown.190919205016.mzXML	P37.G7.no.no.no.unknown.mzXML	P35.A10.no.no.yes.no.mzXML	P35.H7.no.no.no.unknown.mzXML	P36.A5.no.yes.no.unknown.mzXML	P35.D8.no.yes.no.unknown.mzXML	P37.F1.no.no.no.unknown.mzXML	P36.B2.no.no.no.unknown.mzXML	P35.B4.no.no.yes.no.mzXML	P35.F9.no.no.no.unknown.mzXML	P36.B1.no.no.no.unknown.mzXML	P35.H9.no.yes.no.unknown.mzXML
P35.F11.no.no.no.unknown.mzXML	0.0	0.59476806219	0.741907650968	0.50676757074	0.54016916554	0.498735959501	0.476401300215	0.484841382	0.55011797345	0.435451699718	0.391409304391	0.657612405829	0.365023671	0.404540658298	0.472086124	0.502695784492	0.566741747867	0.405109242	0.85040187915	0.628079539884	0.560575240659	0.517999293723	0.575885884424	0.54989172155	0.487390788513	0.692141981308	0.401003857	0.316381858367	0.687153925531	0.884654149827	0.552229477015	0.843070795392	0.68756279225	0.540798826459	0.748508944623	0.555669061666	0.625723684561	0.767051973233	0.543183314457	0.637142674819	0.632441296081	0.508501477491	0.57564283	0.455146173183	0.545132848863	0.44013700544	0.410736546	0.43914412128	0.384769561153	0.42006063845	0.733790712133	0.334626264667	0.643325349643	0.506598200507	0.403747684106	0.795629464	0.478655243521	0.79506005841	0.438565911561	0.569548899354	0.638911331097	0.555568938	0.745417334236	0.482998433483	0.466333339933	0.590826050228	0.494563847	0.515481401727	0.649840089825	0.601884648	0.404020274702	0.480217620441	0.353086899677	0.397654016108	0.418612099419	0.458074615626	0.438447816719	0.382982672617	0.431301951284	0.655413805172	0.703909084296	0.528928521293	0.633681862634	0.873598775574	0.553909147223	0.561811575	0.684218694526	0.547696556095	0.574151833787	0.5332414941	0.384595206231	0.506252306519	0.469434723531	0.554402334332	0.597753025196	0.785471569789	0.509648072039	0.449900405	0.528390981	0.449209435348	0.346045278	0.622775262132	0.778936940221	0.66015875668	0.451630438	0.416481674875	0.528613661471	0.510835053489	0.489787966113	0.468725311328	0.588975040206	0.582944671791	0.522499624478	0.521124084479	0.518158758036	0.384314417461	0.774335596774	0.431667576137	0.478850730479	0.538551159077	0.407757582481	0.8002100229	0.45341255082	0.336625365673
P36.A1.no.no.no.unknown.190919182402.mzXML	0.59476806219	0.0	0.845960465463	0.625253292813	0.740972408223	0.667409102667	0.695152166933	0.711925946424	0.762019929762	0.678738287197	0.596247573789	0.772484391431	0.538296454077	0.575345368363	0.661273167323	0.771243825229	0.710060882	0.597191422194	0.893248313893	0.745861337729	0.736458534868	0.782458155891	0.847917386848	0.736226911209	0.671062416671	0.811491510811	0.448196519896	0.527062024	0.798972237296	0.924083319734	0.649457248876	0.921038264039	0.86495266127	0.686018011686	0.885955393601	0.717457078859	0.752901964876	0.881825344882	0.776189834776	0.777263638443	0.840647980283	0.710853146711	0.71479618943	0.641346221745	0.805491047125	0.668079412004	0.688098620376	0.690556166536	0.662803684506	0.502415277249	0.796706665695	0.564823205912	0.785316677356	0.389660698169	0.438870026036	0.85501018171	0.473473737473	0.844357213	0.808946471809	0.60583582562	0.789288046052	0.750834249623	0.872254787361	0.629713549889	0.610560701442	0.82982408217	0.746484375493	0.762767069881	0.74411080136	0.761384948523	0.455120237638	0.539118915696	0.4799539317	0.530892519704	0.406897503221	0.425827976574	0.601864351005	0.582841039583	0.493818149241	0.835120234753	0.842656657843	0.744337839105	0.814640343444	0.941880579723	0.702401504554	0.625426427251	0.854514441491	0.710482850842	0.742098894355	0.767685720581	0.399115999	0.610525733053	0.654790197655	0.767371281186	0.757709039031	0.907509543017	0.712812874277	0.652631107305	0.804095331608	0.646588964233	0.619676694239	0.807783172192	0.848264391848	0.809631213	0.521236104042	0.448932460724	0.703058805703	0.727061382727	0.509795934422	0.685293941157	0.82664187574	0.793949970485	0.620927951621	0.740608117741	0.706564820826	0.476133470643	0.898447929695	0.497130855	0.707239370122	0.50496575302	0.394592610303	0.90005043875	0.438677428719	0.432294462729
P37.C8.no.no.no.unknown.mzXML	0.741907650968	0.845960465463	0.0	0.715496807699	0.775446217358	0.762658651967	0.741854447581	0.730502435099	0.7760129398	0.72997647297	0.74667059566	0.621898606159	0.748226962895	0.700694111592	0.717441984249	0.718472449082	0.632291199964	0.741967198967	0.76641264592	0.778156041886	0.728241761533	0.741838656356	0.837225752035	0.75996832352	0.697994807775	0.785985282675	0.72520474316	0.7333654456	0.730063935699	0.834162132658	0.745358024074	0.814684029594	0.775963227473	0.640317554496	0.804500074955	0.684166050106	0.822114703313	0.712999625588	0.7119772426	0.648399695868	0.766994604097	0.727082843411	0.722329628193	0.743520154565	0.780831938973	0.697922676172	0.72606675915	0.72915016325	0.707732324384	0.753301402454	0.754376169947	0.68635063045	0.666172591505	0.77522871636	0.745867528541	0.823990708024	0.805923342426	0.821538493409	0.76721374991	0.803262357967	0.737865219359	0.745486033072	0.633068094119	0.721075006929	0.723050312631	0.729795908918	0.731841927084	0.714515493711	0.779734907423	0.778084192552	0.747717556775	0.688549771647	0.764669676589	0.694082068589	0.726228458875	0.753335017577	0.726753504006	0.752579070093	0.732754176207	0.779374489648	0.697644903779	0.71402329186	0.595365439249	0.799727795654	0.696051129647	0.772862290612	0.85195428148	0.738066572488	0.712901299158	0.696779905852	0.751923511349	0.710827647458	0.697274737784	0.725192134748	0.678405522055	0.530010381515	0.703346183225	0.742230331964	0.800254823297	0.683119493693	0.717782234246	0.756969312524	0.796844801539	0.525602985404	0.68869705658	0.712151128742	0.683891665951	0.693553261831	0.762914561143	0.718481917941	0.763822989834	0.751915288729	0.762780684965	0.759727072003	0.729798087567	0.740980281331	0.863861611429	0.73260458061	0.705206950095	0.776964538119	0.730433362774	0.762185862616	0.730231261507	0.701806443833
P37.D7.no.no.no.unknown.mzXML	0.50676757074	0.625253292813	0.715496807699	0.0	0.596180344202	0.533272711167	0.499587775	0.591548925613	0.546566294134	0.476600937523	0.333984808333	0.625711304374	0.540534793689	0.507717932985	0.37321365594	0.58899154185	0.533906657631	0.334486934998	0.868366075329	0.685937962529	0.545660807363	0.590225313229	0.777767789556	0.590448198205	0.486112469285	0.770397635574	0.451981952822	0.474712109839	0.743664742	0.85589114	0.662536333025	0.822717134709	0.772148602253	0.545340847137	0.831624962	0.350493134949	0.752889639741	0.731470768671	0.561095707097	0.721384658279	0.745243073745	0.583499102041	0.603597763595	0.448100639	0.621704788622	0.436358053282	0.406239847891	0.456090062088	0.492573876537	0.449657006201	0.794266509411	0.458871288541	0.632420509184	0.545538605227	0.473214476	0.845884216231	0.602930587993	0.858023243497	0.601608721996	0.607503105	0.66017768966	0.417406725496	0.766240438649	0.391262398304	0.307765798654	0.677320866452	0.543672370684	0.547410928358	0.671992821328	0.704419558443	0.535864570464	0.524941199287	0.484770843515	0.535155243324	0.482392151259	0.500863326246	0.476207425524	0.481318576297	0.473442321053	0.685263495629	0.722255880694	0.492037669	0.504960964248	0.858345342631	0.418742836163	0.602330791597	0.800427152	0.502175651751	0.652702918347	0.600645421396	0.455944447904	0.562403051344	0.308771537728	0.479718728	0.588377627794	0.806417392807	0.442269565606	0.534506465698	0.638071901543	0.390114348085	0.559200803661	0.716423774276	0.835203025412	0.5999576704	0.529871615705	0.495780533513	0.477738097306	0.498880110253	0.518730799807	0.351066761596	0.702789353594	0.54953312245	0.583779186041	0.508897316228	0.502655236751	0.506049458506	0.810277183095	0.454784490908	0.450486286275	0.601861864801	0.458098850168	0.838713373161	0.463649918609	0.461269581731
P38.A6.no.no.no.unknown.mzXML	0.54016916554	0.740972408223	0.775446217358	0.596180344202	0.0	0.502278084	0.409890600525	0.558377002558	0.427956462	0.337438051006	0.457657507915	0.715174022573	0.651211045651	0.654251026827	0.443143040443	0.461045432078	0.594922957405	0.453915191454	0.846849476	0.531460318126	0.356071065322	0.482505929259	0.613439435	0.408393811817	0.490415742	0.567347717	0.516363710516	0.513238694487	0.797094249493	0.881369652703	0.796541769712	0.858188216213	0.757439847728	0.567058299	0.787246736468	0.550404425225	0.445234752277	0.719087274	0.363232289	0.689206307534	0.550843574428	0.409730087	0.537349428537	0.433895744585	0.474020705159	0.499961322	0.386022167386	0.401172026701	0.605928165985	0.601470912598	0.726355093863	0.430035700145	0.712312477425	0.632543595265	0.516339556791	0.78950549579	0.752763882	0.78966375421	0.475995712	0.54399838786	0.506932951274	0.546282285588	0.743102750972	0.491895642984	0.479197419438	0.622718308755	0.436460860436	0.447090838276	0.455060184183	0.534937363535	0.518971129278	0.657660444631	0.463855739196	0.62803687293	0.579638572159	0.593733739813	0.604410730407	0.597488575	0.542757156771	0.577966817789	0.717364341	0.495615343739	0.636052008272	0.883515366608	0.450655158725	0.61954218062	0.684680258212	0.394742206184	0.583543511375	0.570112733505	0.560984897439	0.706770125827	0.478369646	0.39187109048	0.668623856006	0.801933511377	0.476220805381	0.574152384574	0.431073501431	0.519502635078	0.559437630559	0.520975911958	0.756126205	0.597846715402	0.617361943617	0.593497398203	0.521508288	0.412294628	0.647897204148	0.438930137842	0.526290518763	0.46008034319	0.548617773	0.392472734	0.435582453307	0.562540927469	0.746757887494	0.570930966429	0.431306148863	0.742434943227	0.531342891703	0.843900809766	0.568599312216	0.500655005502
P38.B11.no.no.no.unknown.mzXML	0.498735959501	0.667409102667	0.762658651967	0.533272711167	0.502278084	0.0	0.410431116705	0.498450195502	0.471510089057	0.426220950287	0.41738044	0.643828149178	0.543541595456	0.530517719704	0.465408281535	0.603450967586	0.535874552392	0.372667399627	0.878412306243	0.677577957355	0.463116006342	0.508326743229	0.624232067752	0.543314399	0.465652918069	0.622593236755	0.499103308501	0.478560358564	0.73963197387	0.87931679594	0.706968444612	0.863757153477	0.766331998168	0.604137741792	0.781720098891	0.492726687268	0.617967165955	0.769417812461	0.501244444998	0.723097950138	0.670785945506	0.541473064917	0.473346584527	0.395154873698	0.522731831284	0.498604189	0.420538061579	0.384792532923	0.521598540153	0.527177305655	0.717385165424	0.422667838289	0.677727376	0.570118252	0.490348396745	0.832289295168	0.633330186733	0.826434139521	0.595966277808	0.598097963799	0.584421750377	0.535221233556	0.759277805519	0.512199741	0.412831020413	0.678726181285	0.479031891521	0.454547279364	0.686588426157	0.636778271363	0.474098201263	0.507593479015	0.454125382273	0.591240002839	0.494548133	0.52739345989	0.512563523244	0.487072557026	0.488107263768	0.625343773562	0.724194898552	0.530736452765	0.667371626	0.894651683753	0.502274868747	0.588979019411	0.751554128876	0.475799014476	0.53984223623	0.61458518912	0.468274053595	0.57487850215	0.481380798037	0.546169173773	0.613324376613	0.802197345769	0.492704499478	0.490523164509	0.514820645485	0.520751962042	0.524531300475	0.682904277268	0.766674380467	0.613098230161	0.529148467471	0.509334444227	0.516643959967	0.486816428026	0.544500357626	0.445514085941	0.612137849582	0.57915245421	0.555579211889	0.415275664169	0.405750251406	0.484222389226	0.778176665	0.480355242559	0.461725548	0.615020705615	0.45437993991	0.861327395069	0.512948228218	0.457040109457
P38.B5.no.no.no.unknown.mzXML	0.476401300215	0.695152166933	0.741854447581	0.499587775	0.409890600525	0.410431116705	0.0	0.466189447199	0.331330999666	0.358544898717	0.332614034332	0.627052610254	0.55330586833	0.551322204551	0.364703092047	0.430325402855	0.465026988267	0.354846453032	0.861723050931	0.618911945285	0.375627205	0.383133688	0.571981418786	0.438952113597	0.349367689675	0.589350030795	0.452297477178	0.470664540265	0.744995802235	0.871129758613	0.721868587834	0.845529052154	0.748363856629	0.526032169763	0.76344806729	0.457796992	0.576409018	0.736050830868	0.364529841682	0.698826770398	0.606224861425	0.422450202711	0.527499540291	0.285972862858	0.39011135456	0.434252638586	0.307203624961	0.357391604357	0.473097769054	0.474715412525	0.742535986743	0.397655860795	0.625415231064	0.590681618977	0.486846101461	0.829857972745	0.663607532832	0.835098473082	0.518600145759	0.565237778696	0.430919075724	0.490715266528	0.716865103726	0.473299596683	0.35152565573	0.605795998591	0.362296835043	0.351307936	0.596333358193	0.587991827382	0.475450214951	0.546943349961	0.391346536783	0.618877623762	0.501584916754	0.523693132714	0.480345464961	0.473498760737	0.483858591484	0.656898219657	0.692684320846	0.433651741301	0.606491456016	0.881849733858	0.383265465383	0.604178603406	0.706256661119	0.290460137517	0.514492093029	0.550906272347	0.430846948285	0.58453603113	0.423200268712	0.42991278529	0.590402930566	0.796814192337	0.395495856675	0.502605098254	0.371035224057	0.453871002542	0.496540963245	0.671471468493	0.763724757882	0.505495443247	0.555032233333	0.542902595	0.35988354268	0.348358440674	0.541335417595	0.387441765613	0.510840019511	0.456567297913	0.547833404774	0.308236926654	0.398472465895	0.445480901782	0.772468954431	0.448331568276	0.336664275342	0.634063255719	0.452750631547	0.846394774693	0.473476218	0.433901303019
P38.C8.no.no.no.unknown.mzXML	0.484841382	0.711925946424	0.730502435099	0.591548925613	0.558377002558	0.498450195502	0.466189447199	0.0	0.461303859539	0.467051932734	0.456093283456	0.604847336802	0.48137145	0.576334628212	0.421965123	0.60988825717	0.536305037927	0.521750151	0.882792707117	0.665004631995	0.543827693684	0.416564001875	0.561565127438	0.526426869526	0.492002177508	0.562405881438	0.596684009	0.537252936925	0.699151676549	0.81338440572	0.670512094483	0.867627222331	0.77007890392	0.577017557423	0.732342756599	0.588544703617	0.624655824563	0.772854792227	0.571269796429	0.703777560852	0.625426703064	0.501753501498	0.530853809	0.488021742232	0.48794426572	0.471792044472	0.48985396	0.475978228262	0.59436509442	0.614067244965	0.718498173141	0.444958921722	0.66987005467	0.634312523634	0.56638663235	0.786475954	0.685696433314	0.785802014428	0.588979766411	0.572396688359	0.563765570909	0.584818570868	0.670617125012	0.577446055577	0.537622731075	0.651440537046	0.528935898	0.530353648704	0.604705854802	0.579124182	0.531689968766	0.575134243725	0.525272880763	0.636482768272	0.558150744558	0.631257992106	0.590685233795	0.584903113415	0.552883349224	0.627909254186	0.75035641025	0.57363750036	0.703218404703	0.8825717299	0.542634010229	0.577279997	0.63986936146	0.523001091046	0.409765909705	0.617395135722	0.51981910196	0.583827346751	0.602394875398	0.6002492204	0.571989674144	0.744351259323	0.529085966116	0.48751746	0.469108466	0.608310261825	0.441446398	0.651758743045	0.703985203296	0.668495124663	0.576999079	0.582453033626	0.516865319483	0.566315298434	0.654893762251	0.522128776195	0.53940906523	0.490722127745	0.581275618419	0.528584672471	0.526600764053	0.505421462764	0.662497343662	0.542196330916	0.558895697559	0.684001263368	0.558214900104	0.801228821901	0.623836696564	0.533390675067
P38.D2.no.no.no.unknown.mzXML	0.55011797345	0.762019929762	0.7760129398	0.546566294134	0.427956462	0.471510089057	0.331330999666	0.461303859539	0.0	0.365545436317	0.418558364	0.677441991161	0.589109263411	0.62665183356	0.398440698602	0.422818183309	0.530900256407	0.410503243589	0.883827246232	0.65506630831	0.440731011398	0.292669344768	0.451782817096	0.294998214	0.388788725222	0.477821596044	0.555732011444	0.512160651464	0.748928160874	0.864538315932	0.775997104232	0.868092334462	0.774890002126	0.578047638844	0.765916361883	0.514758535213	0.554318611114	0.767013354466	0.443183298114	0.722918848139	0.598874171398	0.483666522033	0.566435075434	0.385344706693	0.240648303861	0.491521333	0.336761879663	0.365472280952	0.584917762868	0.579206000473	0.742385654386	0.45962669127	0.694577054	0.674423899	0.588578763794	0.815627989184	0.730540270539	0.807762551577	0.478779952042	0.563625976782	0.419022643129	0.499473257753	0.724472411449	0.520685742	0.445463871445	0.582729915669	0.363033810637	0.424922652438	0.549698075225	0.559161998441	0.554677073223	0.642555368285	0.488585373256	0.703917070332	0.590299988	0.623891741504	0.604979564198	0.591456964817	0.605527590592	0.616707285575	0.738187120524	0.474685066737	0.599177069	0.892408028173	0.408685806887	0.611750938388	0.633082854817	0.300623082301	0.493914790253	0.57822946332	0.531801872405	0.679303258359	0.454138903092	0.434523593717	0.633662843634	0.800817306789	0.477616626433	0.548089553452	0.266933843733	0.5501456511	0.537549589462	0.67740673429	0.75978604048	0.556203990331	0.64042828036	0.63203055692	0.373269152253	0.407159245186	0.640705561114	0.43705135697	0.455257217817	0.390967458305	0.605809354788	0.338653289323	0.431632519432	0.545416252318	0.703625632	0.551685016345	0.390687323	0.711128300711	0.533066373634	0.865073449067	0.593177806017	0.54021723354
P38.D4.no.no.no.unknown.mzXML	0.435451699718	0.678738287197	0.72997647297	0.476600937523	0.337438051006	0.426220950287	0.358544898717	0.467051932734	0.365545436317	0.0	0.334506760002	0.658421901658	0.57975489979	0.575492576	0.388928030694	0.470626603323	0.485894980771	0.34002840267	0.832616095084	0.558587139455	0.445668968554	0.366530069633	0.574475502213	0.364603677047	0.368627473316	0.534827889233	0.452842568726	0.452831896821	0.732850593466	0.878348615757	0.713456995146	0.847448651305	0.753696655862	0.503387309248	0.771466017543	0.436985810563	0.505886670494	0.731775968134	0.413136933293	0.672109165672	0.592679107778	0.450912794275	0.485567446743	0.409227168818	0.431969672296	0.336516407005	0.230863617615	0.216318517	0.548798308354	0.515740931969	0.699494434	0.37967627338	0.658700395488	0.569347461354	0.463306108927	0.781973282891	0.669574283165	0.789632504316	0.450635456275	0.537587129075	0.524222156573	0.456801696173	0.746303537112	0.371526137057	0.381469080454	0.595242650012	0.401989291701	0.408468642592	0.553636011554	0.576975847788	0.4995790195	0.598611969595	0.411588052412	0.542184755373	0.502898403254	0.546328908134	0.566544375567	0.548820196226	0.492904793	0.529210507	0.67900059016	0.481312631963	0.6000686234	0.894382766645	0.348429209	0.586415416793	0.711841411424	0.348234029371	0.46038863046	0.550651730797	0.497679633753	0.629328901703	0.328339747336	0.397794856796	0.582782237957	0.801306671484	0.433968422453	0.513384615757	0.402225359701	0.451620520081	0.485657442743	0.600193769	0.73903728213	0.547106475679	0.551161932776	0.513093651487	0.381710396309	0.342785259329	0.595381008162	0.304420878391	0.477081859	0.5003574065	0.516324769242	0.327300262336	0.42000262155	0.532003960596	0.775947934664	0.52685116571	0.305832655959	0.66417514116	0.462045923076	0.849443687849	0.517748541482	0.446466846616
